model,fullmoves,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,num_games
Statistical Baseline (Rating-based),5,0.6040609137055838,0.4965861184042602,0.6109419586882086,0.4979573512285229,0.49687623906180095,0.3566301782641415,4921
Random Forest Classifier,5,0.6446700507614214,0.45287034634441686,0.6082599879686945,0.43049215297031224,0.4790116182915736,0.7013931879849286,4921
Logistic Regression,5,0.6456852791878173,0.4540250624601518,0.6096354460005601,0.4301863354037267,0.4807016455800876,0.6947163046503363,4921
Statistical Baseline (Rating-based),10,0.6040609137055838,0.4965861184042602,0.6109419586882086,0.4979573512285229,0.49687623906180095,0.3566301782641415,4921
Random Forest Classifier,10,0.6477157360406092,0.45492450638792103,0.6112015069244239,0.4331677222791115,0.48092388158438765,0.6922590271038497,4921
Logistic Regression,10,0.649746192893401,0.4569734054710172,0.6135140037523038,0.432890440576257,0.48389908762645056,0.7019267858109005,4921
Statistical Baseline (Rating-based),15,0.610134436401241,0.4943272323535524,0.6223924432137662,0.5000214675930953,0.4925716054125582,0.36355242864596987,4833
Random Forest Classifier,15,0.6659772492244054,0.468125042003898,0.630679305529729,0.44513514217947714,0.49389059632048493,0.7112609181006061,4833
Logistic Regression,15,0.6680455015511892,0.4697608598412312,0.6324442923994578,0.44585909662920065,0.4964730866094677,0.7022754298948035,4833
Statistical Baseline (Rating-based),20,0.5837837837837838,0.4797057162643947,0.5939379686747205,0.48344365798811034,0.4793664717505135,0.3946859008118804,4624
Random Forest Classifier,20,0.6378378378378379,0.4605963271746205,0.604781243665088,0.6465167548500882,0.480231921552021,0.7099894960480219,4624
Logistic Regression,20,0.625945945945946,0.44028714303138017,0.5907126370529223,0.4167267292565655,0.46672621531144526,0.6985851101219313,4624
Statistical Baseline (Rating-based),25,0.6233766233766234,0.5285811770604129,0.6319949255900418,0.5305824278150287,0.5315004262574595,0.36379185352564836,4235
Random Forest Classifier,25,0.6847697756788665,0.5083962837032718,0.6510523740411917,0.6475387089006445,0.5251989201477693,0.7423928599042879,4235
Logistic Regression,25,0.6741440377804014,0.4762242328336081,0.6336931909872747,0.44919343437725545,0.5067538126361656,0.7530415869624466,4235
Statistical Baseline (Rating-based),30,0.5706666666666667,0.4710961938940323,0.5828946716005939,0.4776419966886373,0.4674232287808153,0.378334944057747,3750
Random Forest Classifier,30,0.672,0.48273134131437145,0.6294034995740978,0.6155555555555555,0.5115381004023417,0.7392807476936026,3750
Logistic Regression,30,0.6533333333333333,0.46329838584914,0.610301904918252,0.43548618277720447,0.4954540546377281,0.7371151312217209,3750
